"","Predator","Prey"
"512","Tadorna ferruginea","Lyciasalamandra helverseni"
"513","Tadorna ferruginea","Lyciasalamandra luschani"
"514","Tadorna ferruginea","Mertensiella caucasica"
"515","Tadorna ferruginea","Neurergus crocatus"
"516","Tadorna ferruginea","Neurergus strauchii"
"517","Tadorna ferruginea","Pelobates cultripes"
"518","Tadorna ferruginea","Pelobates fuscus"
"519","Tadorna ferruginea","Pelobates syriacus"
"520","Tadorna ferruginea","Pelodytes caucasicus"
"521","Tadorna ferruginea","Pelodytes ibericus"
"522","Tadorna ferruginea","Pelodytes punctatus"
"523","Tadorna ferruginea","Pleurodeles waltl"
"524","Tadorna ferruginea","Proteus anguinus"
"525","Tadorna ferruginea","Rana arvalis"
"526","Tadorna ferruginea","Pelophylax bedriagae"
"527","Tadorna ferruginea","Pelophylax bergeri"
"528","Tadorna ferruginea","Pelophylax cerigensis"
"529","Tadorna ferruginea","Pelophylax cretensis"
"530","Tadorna ferruginea","Rana dalmatina"
"531","Tadorna ferruginea","Pelophylax epeiroticus"
"532","Tadorna ferruginea","Pelophylax lessonae"
"533","Tadorna ferruginea","Rana graeca"
"534","Tadorna ferruginea","Rana iberica"
"535","Tadorna ferruginea","Rana italica"
"536","Tadorna ferruginea","Pelophylax kurtmuelleri"
"537","Tadorna ferruginea","Rana latastei"
"538","Tadorna ferruginea","Rana macrocnemis"
"539","Tadorna ferruginea","Pelophylax perezi"
"540","Tadorna ferruginea","Rana pyrenaica"
"541","Tadorna ferruginea","Pelophylax ridibundus"
"542","Tadorna ferruginea","Pelophylax shqipericus"
"543","Tadorna ferruginea","Rana tavasensis"
"544","Tadorna ferruginea","Rana temporaria"
"545","Tadorna ferruginea","Salamandra atra"
"546","Tadorna ferruginea","Salamandra corsica"
"547","Tadorna ferruginea","Salamandra infraimmaculata"
"548","Tadorna ferruginea","Salamandra lanzai"
"549","Tadorna ferruginea","Salamandra salamandra"
"550","Tadorna ferruginea","Salamandrella keyserlingii"
"551","Tadorna ferruginea","Salamandrina perspicillata"
"552","Tadorna ferruginea","Salamandrina terdigitata"
