"","Consumer_Class","Consumer_Order","Consumer_Family","Consumer_Genus","Consumer_Species","Resource_Class","Resource_Order","Resource_Family","Resource_Genus","Resource_Species"
"139","Aves","Passeriformes","Cisticolidae","Prinia","Prinia subflava","Reptilia","Squamata","Lacertidae","Nucras","Nucras boulengeri"
"140","Aves","Passeriformes","Cisticolidae","Prinia","Prinia subflava","Reptilia","Squamata","Scincidae","Eumecia","Eumecia anchietae"
"141","Aves","Passeriformes","Cisticolidae","Prinia","Prinia subflava","Reptilia","Squamata","Scincidae","Mochlus","Mochlus sundevallii"
"142","Aves","Passeriformes","Cisticolidae","Prinia","Prinia subflava","Reptilia","Squamata","Scincidae","Trachylepis","Trachylepis maculilabris"
"143","Aves","Passeriformes","Cisticolidae","Prinia","Prinia subflava","Reptilia","Squamata","Scincidae","Trachylepis","Trachylepis striata"
"144","Aves","Passeriformes","Cisticolidae","Prinia","Prinia subflava","Reptilia","Squamata","Scincidae","Trachylepis","Trachylepis varia"
"145","Aves","Passeriformes","Muscicapidae","Myrmecocichla","Myrmecocichla nigra","Reptilia","Squamata","Agamidae","Acanthocercus","Acanthocercus atricollis"
"146","Aves","Passeriformes","Muscicapidae","Myrmecocichla","Myrmecocichla nigra","Reptilia","Squamata","Agamidae","Agama","Agama mwanzae"
"147","Aves","Passeriformes","Muscicapidae","Myrmecocichla","Myrmecocichla nigra","Reptilia","Squamata","Chamaeleonidae","Chamaeleo","Chamaeleo anchietae"
"148","Aves","Passeriformes","Muscicapidae","Myrmecocichla","Myrmecocichla nigra","Reptilia","Squamata","Chamaeleonidae","Chamaeleo","Chamaeleo dilepis"
"149","Aves","Passeriformes","Muscicapidae","Myrmecocichla","Myrmecocichla nigra","Reptilia","Squamata","Gekkonidae","Chondrodactylus","Chondrodactylus turneri"
"150","Aves","Passeriformes","Muscicapidae","Myrmecocichla","Myrmecocichla nigra","Reptilia","Squamata","Gekkonidae","Hemidactylus","Hemidactylus brookii"
"151","Aves","Passeriformes","Muscicapidae","Myrmecocichla","Myrmecocichla nigra","Reptilia","Squamata","Gekkonidae","Hemidactylus","Hemidactylus mabouia"
"152","Aves","Passeriformes","Muscicapidae","Myrmecocichla","Myrmecocichla nigra","Reptilia","Squamata","Gekkonidae","Hemidactylus","Hemidactylus squamulatus"
"153","Aves","Passeriformes","Muscicapidae","Myrmecocichla","Myrmecocichla nigra","Reptilia","Squamata","Gekkonidae","Homopholis","Homopholis fasciata"
"154","Aves","Passeriformes","Muscicapidae","Myrmecocichla","Myrmecocichla nigra","Reptilia","Squamata","Gekkonidae","Lygodactylus","Lygodactylus capensis"
"155","Aves","Passeriformes","Muscicapidae","Myrmecocichla","Myrmecocichla nigra","Reptilia","Squamata","Gekkonidae","Lygodactylus","Lygodactylus manni"
"156","Aves","Passeriformes","Muscicapidae","Myrmecocichla","Myrmecocichla nigra","Reptilia","Squamata","Lacertidae","Heliobolus","Heliobolus spekii"
"157","Aves","Passeriformes","Muscicapidae","Myrmecocichla","Myrmecocichla nigra","Reptilia","Squamata","Lacertidae","Nucras","Nucras boulengeri"
"158","Aves","Passeriformes","Muscicapidae","Myrmecocichla","Myrmecocichla nigra","Reptilia","Squamata","Scincidae","Eumecia","Eumecia anchietae"
"159","Aves","Passeriformes","Muscicapidae","Myrmecocichla","Myrmecocichla nigra","Reptilia","Squamata","Scincidae","Mochlus","Mochlus sundevallii"
"160","Aves","Passeriformes","Muscicapidae","Myrmecocichla","Myrmecocichla nigra","Reptilia","Squamata","Scincidae","Trachylepis","Trachylepis maculilabris"
"161","Aves","Passeriformes","Muscicapidae","Myrmecocichla","Myrmecocichla nigra","Reptilia","Squamata","Scincidae","Trachylepis","Trachylepis striata"
"162","Aves","Passeriformes","Muscicapidae","Myrmecocichla","Myrmecocichla nigra","Reptilia","Squamata","Scincidae","Trachylepis","Trachylepis varia"
"163","Aves","Passeriformes","Muscicapidae","Oenanthe","Oenanthe pileata","Reptilia","Squamata","Agamidae","Acanthocercus","Acanthocercus atricollis"
"164","Aves","Passeriformes","Muscicapidae","Oenanthe","Oenanthe pileata","Reptilia","Squamata","Agamidae","Agama","Agama mwanzae"
"165","Aves","Passeriformes","Muscicapidae","Oenanthe","Oenanthe pileata","Reptilia","Squamata","Chamaeleonidae","Chamaeleo","Chamaeleo anchietae"
"166","Aves","Passeriformes","Muscicapidae","Oenanthe","Oenanthe pileata","Reptilia","Squamata","Chamaeleonidae","Chamaeleo","Chamaeleo dilepis"
"167","Aves","Passeriformes","Muscicapidae","Oenanthe","Oenanthe pileata","Reptilia","Squamata","Gekkonidae","Chondrodactylus","Chondrodactylus turneri"
"168","Aves","Passeriformes","Muscicapidae","Oenanthe","Oenanthe pileata","Reptilia","Squamata","Gekkonidae","Hemidactylus","Hemidactylus brookii"
