"","Predator","Prey"
"554","Ardea purpurea","Lacerta strigata"
"555","Ardea purpurea","Lacerta trilineata"
"556","Ardea purpurea","Lacerta viridis"
"557","Ardea purpurea","Natrix maura"
"558","Ardea purpurea","Natrix natrix"
"559","Ardea purpurea","Natrix tessellata"
"560","Ardea alba","Alytes cisternasii"
"561","Ardea alba","Alytes dickhilleni"
"562","Ardea alba","Alytes muletensis"
"563","Ardea alba","Alytes obstetricans"
"564","Ardea alba","Bombina bombina"
"565","Ardea alba","Bombina pachypus"
"566","Ardea alba","Bombina variegata"
"567","Ardea alba","Bufo bufo"
"568","Ardea alba","Epidalea calamita"
"569","Ardea alba","Bufo verrucosissimus"
"570","Ardea alba","Bufotes viridis"
"571","Ardea alba","Chioglossa lusitanica"
"572","Ardea alba","Discoglossus galganoi"
"573","Ardea alba","Discoglossus jeanneae"
"574","Ardea alba","Discoglossus montalentii"
"575","Ardea alba","Discoglossus pictus"
"576","Ardea alba","Discoglossus sardus"
"577","Ardea alba","Calotriton asper"
"578","Ardea alba","Hyla arborea"
"579","Ardea alba","Hyla intermedia"
"580","Ardea alba","Hyla meridionalis"
"581","Ardea alba","Hyla sarda"
"582","Ardea alba","Hyla savignyi"
"583","Ardea alba","Pelobates cultripes"
"584","Ardea alba","Pelobates fuscus"
"585","Ardea alba","Pelobates syriacus"
"586","Ardea alba","Pelodytes caucasicus"
"587","Ardea alba","Pelodytes ibericus"
"588","Ardea alba","Pelodytes punctatus"
"589","Ardea alba","Pleurodeles waltl"
"590","Ardea alba","Rana arvalis"
"591","Ardea alba","Pelophylax bedriagae"
"592","Ardea alba","Pelophylax bergeri"
"593","Ardea alba","Pelophylax cerigensis"
"594","Ardea alba","Pelophylax cretensis"
"595","Ardea alba","Rana dalmatina"
"596","Ardea alba","Pelophylax epeiroticus"
"597","Ardea alba","Pelophylax lessonae"
"598","Ardea alba","Rana graeca"
"599","Ardea alba","Rana iberica"
"600","Ardea alba","Rana italica"
"601","Ardea alba","Pelophylax kurtmuelleri"
"602","Ardea alba","Rana latastei"
"603","Ardea alba","Rana macrocnemis"
"604","Ardea alba","Pelophylax perezi"
"605","Ardea alba","Rana pyrenaica"
"606","Ardea alba","Pelophylax ridibundus"
"607","Ardea alba","Pelophylax shqipericus"
"608","Ardea alba","Rana tavasensis"
