"","Source","Target","draw","tpr","tnr","ppv","npv"
"1366","Serengeti","Euro",66,0.753056488761126,0.727895880997549,0.115137666904077,0.984299805454111
"1367","Serengeti","Euro",67,0.731496553873861,0.720669918010764,0.109626619121399,0.982784445266083
"1368","Serengeti","Euro",68,0.722075987947217,0.732792437775299,0.112729936953207,0.982480634709936
"1369","Serengeti","Euro",69,0.763862432029924,0.695517867465661,0.105506627949808,0.984288114228037
"1370","Serengeti","Euro",70,0.74235444879299,0.73959664878156,0.118191994441657,0.983885327828191
"1371","Serengeti","Euro",71,0.730803865202785,0.71574079351251,0.107839654921281,0.982624004471147
"1372","Serengeti","Euro",72,0.711581754580404,0.75243565839718,0.119051895976266,0.982297056560134
"1373","Serengeti","Euro",73,0.742302497142659,0.759272437123945,0.126621352971237,0.984293248978549
"1374","Serengeti","Euro",74,0.738942957087937,0.751462697747128,0.122643543042075,0.983929068291066
"1375","Serengeti","Euro",75,0.720413535136633,0.745498733929865,0.117456561880615,0.98267283697549
"1376","Serengeti","Euro",76,0.743341530149274,0.709017187614496,0.107228593625488,0.983265266027056
"1377","Serengeti","Euro",77,0.737436359228345,0.739059281393247,0.117287384940811,0.983571030749327
"1378","Serengeti","Euro",78,0.722578187233748,0.734074791770137,0.11328182267374,0.982541754847878
"1379","Serengeti","Euro",79,0.723825026841686,0.746341423697902,0.118292655316066,0.982899641008265
"1380","Serengeti","Euro",80,0.743618605617705,0.722000309393345,0.111714097657805,0.983578700781856
"1381","Serengeti","Euro",81,0.737817337997437,0.760952931501942,0.126725876397209,0.98405896288497
"1382","Serengeti","Euro",82,0.742458352093652,0.730429649652747,0.114647705789075,0.983692857291668
"1383","Serengeti","Euro",83,0.733626571537423,0.770531098102116,0.130672424429365,0.984006338405999
"1384","Serengeti","Euro",84,0.730163128182039,0.706461435747958,0.10470559312227,0.982358635290655
"1385","Serengeti","Euro",85,0.740847850933398,0.757431546722466,0.125565737028406,0.984168209468395
"1386","Serengeti","Euro",86,0.737038063242476,0.741092321345698,0.118043344408882,0.983590915083391
"1387","Serengeti","Euro",87,0.742562255394313,0.743236091547862,0.119696292987941,0.983975699459748
"1388","Serengeti","Euro",88,0.717313753333564,0.712649302643685,0.105038937590814,0.981691485149847
"1389","Serengeti","Euro",89,0.727357739064178,0.746739564081061,0.118965951866402,0.98312353882583
"1390","Serengeti","Euro",90,0.736795622207599,0.74053459913207,0.117785313862551,0.983563868844021
"1391","Serengeti","Euro",91,0.729660928895508,0.762442904714992,0.126188586574026,0.983602769179382
"1392","Serengeti","Euro",92,0.744623004190766,0.717585754879052,0.110292589961089,0.983543002791005
"1393","Serengeti","Euro",93,0.728483358154677,0.743731935092533,0.117894837143866,0.983125219289277
"1394","Serengeti","Euro",94,0.727773352266824,0.727033650597211,0.11139029807626,0.982699990095414
"1395","Serengeti","Euro",95,0.73639732622173,0.759639638172625,0.125908621205257,0.983946746479453
"1396","Serengeti","Euro",96,0.737055380459253,0.721734882471239,0.110743371581714,0.983159314394217
"1397","Serengeti","Euro",97,0.712707373670904,0.693646851922717,0.0985956657770793,0.980898847943777
"1398","Serengeti","Euro",98,0.757385792955356,0.755201472060967,0.126991869918699,0.985120375208697
"1399","Serengeti","Euro",99,0.726907491427978,0.727322689116682,0.111377331306168,0.982652696422187
"1400","Serengeti","Euro",100,0.740934437017283,0.740754431245471,0.118457117227861,0.983822864693835
"1401","Serengeti","Pyrenees",1,0.853188929001203,0.698693980725683,0.0583443054641211,0.995423340961098
"1402","Serengeti","Pyrenees",2,0.81468110709988,0.694138711885829,0.0550719921906776,0.994192185850053
"1403","Serengeti","Pyrenees",3,0.831528279181709,0.71088524935489,0.0592065804129895,0.994841182106272
"1404","Serengeti","Pyrenees",4,0.868832731648616,0.700379166886092,0.0596644905379721,0.995918825819979
"1405","Serengeti","Pyrenees",5,0.823104693140794,0.695349939438622,0.0558185082422066,0.994464319337225
"1406","Serengeti","Pyrenees",6,0.771359807460891,0.699325925535837,0.053150912106136,0.992896930726382
"1407","Serengeti","Pyrenees",7,0.813477737665463,0.700089525514772,0.0560251947621416,0.994204090790113
"1408","Serengeti","Pyrenees",8,0.800240673886883,0.709989994207173,0.0569398064902817,0.993881312200516
"1409","Serengeti","Pyrenees",9,0.813477737665463,0.680920532940123,0.0528372674691262,0.994041898904478
"1410","Serengeti","Pyrenees",10,0.706377858002407,0.725130338617094,0.0532378015599492,0.991217651081597
"1411","Serengeti","Pyrenees",11,0.818291215403129,0.653904892306072,0.0491898148148148,0.993956373824295
"1412","Serengeti","Pyrenees",12,0.821901323706378,0.704855442624677,0.0574335687857383,0.994501616079058
"1413","Serengeti","Pyrenees",13,0.848375451263538,0.708936752856917,0.0599540777276979,0.995341959334566
"1414","Serengeti","Pyrenees",14,0.795427196149218,0.722181262836379,0.0589546914020692,0.99383991013516
"1415","Serengeti","Pyrenees",15,0.830324909747292,0.657380588761915,0.0503576120274412,0.994384036324531
"1416","Serengeti","Pyrenees",16,0.830324909747292,0.690505029227447,0.0554484088717454,0.994652000758581
"1417","Serengeti","Pyrenees",17,0.747292418772563,0.70709358049397,0.0528735632183908,0.9922406148389
"1418","Serengeti","Pyrenees",18,0.800240673886883,0.683342988045711,0.0523993381136238,0.993644230032927
"1419","Serengeti","Pyrenees",19,0.807460890493381,0.719758807730791,0.0593070532084144,0.994180760138207
"1420","Serengeti","Pyrenees",20,0.807460890493381,0.705671704671125,0.0566292514136214,0.99406528189911
"1421","Serengeti","Pyrenees",21,0.796630565583634,0.733661593554163,0.0614271132968359,0.993971175799087
"1422","Serengeti","Pyrenees",22,0.826714801444043,0.710305966612249,0.0587732055778937,0.994690265486726
"1423","Serengeti","Pyrenees",23,0.829121540312876,0.690636684396229,0.0553947579996784,0.99461529710667
"1424","Serengeti","Pyrenees",24,0.808664259927798,0.69900995313076,0.0555234239444766,0.994046281734442
