"","role","sourceFW","estimate_(Intercept)_Serengeti","std.error_(Intercept)_Serengeti","estimate_(Intercept)_Pyrenees","std.error_(Intercept)_Pyrenees","insample","estimate_empirical_Euro","estimate_(Intercept)_Arctic","std.error_(Intercept)_Arctic","estimate_empirical_Serengeti","std.error_empirical_Serengeti","estimate_empirical_Pyrenees","std.error_empirical_Pyrenees","estimate_(Intercept)_Euro","std.error_(Intercept)_Euro","estimate_empirical_Arctic","std.error_empirical_Arctic","r.squared_Serengeti","r.squared_Pyrenees","std.error_empirical_Euro","r.squared_Arctic"
"173","position21","Pyrenees",48.9047586206897,2.64140562983268,NA,NA,"between food webs",4.89557377634037,4.97939393939394,0.473359575236829,0.908952244116032,0.255892577176704,NA,NA,334.174960624333,13.2381515814719,3.50424242424246,2.07955217490209,0.040883350027641,NA,1.87202363952782,0.0146489421532629
"174","position21","Pyrenees",NA,NA,6.94367346938775,0.618545451896887,"within food web",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"175","position21","Serengeti",NA,NA,86.6202551020408,4.79808957459758,"between food webs",2.64813399900158,85.751933124347,6.20732533807094,NA,NA,NA,NA,3071.10443868608,90.2868740951365,-21.670773249739,27.2698759725141,NA,0,12.7675802475118,0.00329545633301505
"176","position21","Serengeti",216.897172413793,12.9461524901826,NA,NA,"within food web",NA,NA,NA,1.24064012041597,1.25418992366018,NA,NA,NA,NA,NA,NA,0.00329488305808064,NA,NA,NA
"177","position22","Arctic",NA,NA,NA,NA,"within food web",NA,7.83572916666666,1.0843238394281,NA,NA,NA,NA,NA,NA,39.4642708333336,15.0639082056801,NA,NA,NA,0.0346870687765293
"178","position22","Arctic",67.6233892617449,4.58488722610089,31.6832653061225,2.81347322325538,"between food webs",6.55526026117416,NA,NA,NA,NA,NA,NA,757.161168762494,28.5366424664368,NA,NA,0,0,49.1859665686201,NA
"179","position22","Euro",17.7720469798658,1.87998311037121,11.6625510204081,1.49865013852114,"between food webs",NA,3.96204545454546,0.695453861774687,NA,NA,NA,NA,NA,NA,14.5179545454546,9.66155382195145,0,0,NA,0.0116836761569228
"180","position22","Euro",NA,NA,NA,NA,"within food web",27.4390727536156,NA,NA,NA,NA,NA,NA,101.258242255953,6.9391916050557,NA,NA,NA,NA,11.9604416217132,NA
"181","position22","Pyrenees",39.1747651006712,3.0386503052356,NA,NA,"between food webs",25.6041955746944,5.095625,0.755962261635904,NA,NA,NA,NA,185.641663840877,9.61130477397288,28.1343750000002,10.5021633779146,0,NA,16.5661155074379,0.0362130157116546
"182","position22","Pyrenees",NA,NA,7.8558163265306,1.17612420995042,"within food web",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"183","position22","Serengeti",NA,NA,49.2472448979592,4.28936559145885,"between food webs",73.457990116454,36.40453125,3.63372466560179,NA,NA,NA,NA,1661.46033591725,57.9123926294701,-11.4245312500001,50.4813163899553,NA,0,99.8182253266879,0.000268080749039861
"184","position22","Serengeti",83.1495302013423,7.15738534633844,NA,NA,"within food web",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"185","position23","Arctic",NA,NA,NA,NA,"within food web",NA,7.91989583333333,0.844473138792551,NA,NA,NA,NA,NA,NA,21.7201041666668,11.7317957812704,NA,NA,NA,0.0176293711329959
"186","position23","Arctic",68.395067114094,3.36790283458154,32.5622448979592,2.25204051907053,"between food webs",180.664740029275,NA,NA,NA,NA,NA,NA,756.392465160115,23.3030680010958,NA,NA,0,0,116.256128694394,NA
"187","position23","Euro",17.8247315436242,1.70177926600302,11.6625510204082,1.18758703913567,"between food webs",NA,3.98326494107744,0.530832951601278,NA,NA,NA,NA,NA,NA,10.1067350589226,7.3745670478751,0,0,NA,0.00973790411617549
"188","position23","Euro",NA,NA,NA,NA,"within food web",72.8697694050653,NA,NA,NA,NA,NA,NA,100.870451164003,4.90431519505497,NA,NA,NA,NA,24.4670229021935,NA
"189","position23","Pyrenees",40.4394630872483,2.36339727810808,NA,NA,"between food webs",29.7981678731127,5.161875,0.545307823035845,NA,NA,NA,NA,186.059671552606,6.20587081894246,10.4381250000001,7.5756583885343,0,NA,30.9603231880812,0.00984182035900548
